YEAR,MONTH,TIME,Urea,MP,TSP,VIX_index,Energy_Price_Index,Maize,Rice,Wheat,Food_Price_Index,YEAR
1992,Jan,Jan-1992,122.5,110,120,17.68,23.71,109.31,277.25,169.95,55.67,
1992,Feb,Feb-1992,120.63,110,120,17.48,23.83,113.62,278.25,177.13,55.46,
1992,Mar,Mar-1992,120,110,120,17.52,23.79,117,277.2,169.35,55.55,
1992,Apr,Apr-1992,120,110,120.2,16.56,25.24,108.52,278,159.93,54.07,
1992,May,May-1992,120,110,120.5,15.08,26.33,109.64,274,149.69,54.16,
1992,Jun,Jun-1992,120,110,120.5,15.20,27.73,110.9,268.8,148.67,54.82,
1992,Jul,Jul-1992,120,110,120.5,13.60,27.29,102.75,278.5,136.32,53.74,
1992,Aug,Aug-1992,120,113.6,120.75,14.42,27,96.96,270.8,128.17,53.82,
1992,Sep,Sep-1992,120,114.5,121.5,13.70,28.05,98.05,257,138.74,53.34,
1992,Oct,Oct-1992,116.88,114.5,121.5,17.64,28.02,95.11,250,140.58,51.71,
1992,Nov,Nov-1992,107.5,114.5,121.5,14.42,26.4,94.48,252.6,147.57,52.14,
1992,Dec,Dec-1992,103.75,114,121.88,12.19,25.28,94.61,256.25,147.83,51.99,
1993,Jan,Jan-1993,102.5,113,121.88,12.41,24.21,94.21,259.75,155.65,53.52,
1993,Feb,Feb-1993,102.5,112.5,121.5,13.72,24.77,94.38,254.25,148.88,53.33,
1993,Mar,Mar-1993,86.2,112.5,111,13.61,25.74,97.14,230.2,147.9,54.11,
1993,Apr,Apr-1993,81,112.5,109.6,12.84,25.89,100.55,206.25,141.99,53.76,
1993,May,May-1993,81,112.5,107.5,13.61,25.37,98.59,184.75,136.58,53.04,
1993,Jun,Jun-1993,81,112.5,105.5,12.52,24.35,92.76,189,121.82,51.26,
1993,Jul,Jul-1993,81,112.5,105.1,11.50,23.23,101.25,200.75,127.52,54.05,
1993,Aug,Aug-1993,81,112.5,107.5,11.93,23.66,100.31,209,129.8,53.47,
1993,Sep,Sep-1993,81,112.5,107.5,12.93,23.04,100.9,206,131.29,53.54,
