Time,Intensity,Intensity_1
0.000935,-15924111,-39265728
0.000946,-10422855,38924480
0.000957,-7382400,-28669372
0.000968,24824404,32348314
0.000979,10609993,-32679472
0.00099,35262416,27571442
0.001001,13259367,-39658336
0.001012,5920431,19375680
0.001023,-11811754,-19657158
0.001034,-14432211,20007636
0.001045,-22029768,-4743293
0.001056,-16106216,31119662
0.001067,-13489959,-1260592
0.001078,5003892,19707836
0.001089,11843328,-14341060
0.0011,18546568,1811802
0.001111,17900932,-28860452
0.001122,17471868,-9538491
0.001133,5380652,-20729448
0.001144,-2108611,-394491
0.001155,-16122905,-8253643
0.001166,-25363496,14674137
0.001177,-18249586,19234086
0.001188,-11083442,32907296
0.001199,-4262204,24432032
0.00121,4780243,18181210
0.001221,25271394,-2915109
0.001232,26387244,-19180378
0.001243,30988772,-25546328
0.001254,16100797,-20622940
0.001265,9679804,-30667388
0.001276,-10836607,-17682752
0.001287,-23325268,-1320582
0.001298,-25169960,15778709
0.001309,-19097818,30748736
0.00132,-17216452,30960334
0.001331,2722369,17293876
0.001342,18885108,10785882
0.001353,27343832,-6959704
0.001364,25415978,-20058112
0.001375,4554329,-36138160
0.001386,4548754,-28059188
0.001397,-6639660,-25827142
0.001408,-11760571,-6124159
0.001419,-14848807,10827187
0.00143,-11316224,22513460
0.001441,-2500984,29058972
0.001452,6418265,32437816
0.001463,7995716,11469216
0.001474,10338649,-6511888
0.001485,-2081252,-19265168
0.001496,-4752203,-24510496
0.001507,-10312830,-16878354
0.001518,-11373602,-13977962
0.001529,-7591257,977977
0.00154,4434790,15662500
0.001551,6844663,18731256
0.001562,17937178,14170483
0.001573,10212850,10496007
0.001584,-3656905,-3601176
0.001595,-3246966,-6890080
0.001606,-14339764,-17244020
0.001617,-24419700,-11791566
0.001628,-26273910,-9687666
0.001639,-7536795,359840
0.00165,-1367601,9996635
0.001661,9593009,11038599
0.001672,25256548,446757
0.001683,27986112,2846041
0.001694,15917729,-3319956
0.001705,12584715,-3607410
0.001716,-5166739,-8554488
0.001727,-11219177,-4160280
0.001738,-18859696,-5248284
0.001749,-24220142,1214837
0.00176,-11127525,2953665
0.001771,-4291885,-5256266
0.001782,-4653401,-2033074
0.001793,4378917,1678149
0.001804,11803904,-4751082
0.001815,9134510,5447530
0.001826,17295712,1319127
0.001837,11475001,6281706
0.001848,7314242,3916734
0.001859,-1241901,6835170
0.00187,-1852614,-129632
0.001881,-7891359,-5684120
0.001892,-14017121,-10148426
0.001903,-14926435,-9143942
0.001914,-23189856,-8646619
0.001925,-5285953,1870359
0.001936,3473280,9781629
0.001947,15604648,6473160
0.001958,15781328,18298538
0.001969,18044092,13435960
0.00198,12699869,8013443
0.001991,8128474,-2769831
0.002002,-2183947,-9827380
0.002013,-11156392,-11899374
0.002024,-16588867,-8716677
0.002035,-21819298,-3395079
0.002046,-14911232,-5123031
0.002057,-11817995,832878
0.002068,1963551,2467698
0.002079,17444424,8938485
0.00209,11848984,11567217
0.002101,19421760,5367477
0.002112,19563320,-794208
0.002123,11465580,5711098
0.002134,-2530273,4470506
0.002145,-8884712,694328
0.002156,-4484020,-1216165
0.002167,-8048735,-3817153
0.002178,-828584,-7126169
0.002189,630433,-17851182
0.0022,5353707,-15453362
0.002211,1935399,-6666323
0.002222,1755102,-5463853
0.002233,3696382,-1690862
0.002244,10652843,11677810
0.002255,8754297,9578566
0.002266,8884399,13950614
0.002277,4278331,4069872
0.002288,-2674151,1071020
0.002299,-10535512,-5505546
0.00231,-10242253,-9169227
0.002321,-11346696,-7698137
0.002332,-4177439,-7187067
0.002343,2507891,-7283932
0.002354,2981331,-4744439
0.002365,9704378,5497545
0.002376,3450630,-3892188
0.002387,-4369964,7033220
0.002398,-1508577,6228499
0.002409,-11545262,18928538
0.00242,-10155121,12828721
0.002431,-4984986,21067796
0.002442,-3777910,10791540
0.002453,2515333,4088404
0.002464,15510602,-3619217
0.002475,12494044,-13071435
0.002486,6268330,-21524928
0.002497,11528256,-27399262
0.002508,-2993809,-12170027
0.002519,-19724358,-4183709
0.00253,-25701636,12166322
0.002541,-18397910,26774568
0.002552,-14398804,29363400
0.002563,-380943,33526780
0.002574,7756323,21021004
0.002585,23972904,-5070384
0.002596,26707814,-13517199
0.002607,17398822,-33206460
0.002618,6787234,-25387390
0.002629,-3615931,-25948872
0.00264,-14246336,-16367035
0.002651,-22167196,-780437
0.002662,-8060211,20172092
0.002673,-6866165,28566090
0.002684,3359813,30657600
0.002695,13078104,12781304
0.002706,11501626,-396684
0.002717,5856198,-14545649
0.002728,876582,-24864236
0.002739,-8472147,-21576868
0.00275,-12969235,-10908603
0.002761,-11717103,-12120071
0.002772,-6680606,-3888915
0.002783,-588724,9639128
0.002794,6300279,15612774
0.002805,5776700,8254208
0.002816,14893523,2902481
0.002827,1462795,6709066
0.002838,-6946196,-585550
0.002849,-16161178,-5188347
0.00286,-15305087,-4247510
0.002871,-13466930,-3181942
0.002882,-8706314,-3934580
0.002893,69095,5314734
0.002904,10384328,1860156
0.002915,17079186,4773705
0.002926,20503928,4380490
0.002937,12960604,1906174
0.002948,1770811,5746012
0.002959,-3559865,2921031
0.00297,-1108980,-3246703
0.002981,-13849321,-6088557
0.002992,-23293704,429379
0.003003,-14471434,720219
0.003014,-13412407,1420565
0.003025,738564,6071128
0.003036,2786457,7060072
0.003047,24558752,8945676
0.003058,26463836,6456638
0.003069,23389032,56902
0.00308,23914826,-1300289
0.003091,1684667,-16402044
0.003102,1413903,-11941120
0.003113,-21942144,-16782996
0.003124,-29746430,-6479830
0.003135,-25251306,2481578
0.003146,-24815396,19884952
0.003157,-5379347,17615004
0.003168,15354507,8343361
0.003179,25607336,5886278
0.00319,31053932,5394038
0.003201,28500920,-16525035
0.003212,16314166,-14974941
0.003223,-640844,-18058392
0.003234,-13858442,-14937990
0.003245,-34074320,2230772
0.003256,-32680108,5988767
0.003267,-29645546,17106712
0.003278,-12775463,14707643
0.003289,6323868,9536234
0.0033,11958639,7390017
0.003311,17621176,-8104804
0.003322,18494052,-20528496
0.003333,7218523,-17048496
0.003344,-2350447,-6092561
0.003355,-5743030,5205675
0.003366,-13220554,9730899
0.003377,-12725731,17485328
0.003388,-8230089,12269039
0.003399,4209001,13959453
0.00341,7470930,-3583209
0.003421,3238902,-9331310
0.003432,1202700,-15463033
0.003443,-4437729,-14959770
