Frequency,Intensity
20.684138,703.898743
20.682297,34.00322
20.680455,-2548.448975
20.678613,-4583.659668
20.676772,-4275.206543
20.67493,-2668.92749
20.673089,-1452.713379
20.671247,-670.933899
20.669405,200.072281
20.667564,675.422546
20.665722,172.79892
20.66388,-694.769165
20.662039,-1019.375671
20.660197,-1002.435669
20.658355,-1400.547119
20.656514,-2093.670166
20.654672,-2095.479736
20.65283,-869.129761
20.650989,752.676025
20.649147,1030.286865
20.647305,-911.600891
20.645464,-3509.944092
20.643622,-3948.697998
20.641781,-1824.392578
20.639939,-295.529816
20.638097,-1845.735229
20.636256,-4337.823242
20.634414,-4059.562744
20.632572,-1617.121216
20.630731,-984.179382
20.628889,-2846.886963
20.627047,-3347.931396
20.625206,-527.265625
20.623364,2442.298096
20.621522,2529.705078
20.619681,1188.478516
20.617839,622.169739
20.615997,-383.430267
20.614156,-3281.480469
20.612314,-5770.952637
20.610473,-5182.05127
20.608631,-3208.106689
20.606789,-2842.11499
20.604948,-2857.64624
20.603106,-261.894775
20.601264,3393.077637
20.599423,3629.321777
20.597581,451.287109
20.595739,-1359.505249
20.593898,99.584129
20.592056,1170.809692
20.590214,-794.147583
20.588373,-3015.202881
20.586531,-2209.563965
20.58469,-99.293213
20.582848,-331.715485
20.581006,-2327.915771
20.579165,-2245.804932
20.577323,760.929138
20.575481,3001.895264
20.57364,1503.431519
20.571798,-2077.89502
20.569956,-4063.546631
20.568115,-3266.220703
20.566273,-1384.527466
20.564431,-355.837372
20.56259,-1004.171143
20.560748,-3227.127441
20.558906,-5646.800781
20.557065,-5889.02832
20.555223,-3281.711182
20.553382,-636.302673
20.55154,-1005.928711
20.549698,-3228.308594
20.547857,-3549.641602
20.546015,-1394.781006
20.544173,-8.192854
20.542332,-952.405151
20.54049,-1876.676514
20.538648,-1094.217407
20.536807,-568.420166
20.534965,-2179.986572
20.533123,-4259.714844
20.531282,-4335.640625
20.52944,-2768.658936
20.527598,-1382.091675
20.525757,-713.216492
20.523915,-528.170959
20.522074,-918.352295
20.520232,-1429.33313
20.51839,-1298.835693
20.516549,-1279.251099
20.514707,-2407.044922
20.512865,-2882.511719
20.511024,-308.07312
20.509182,2747.13208
20.50734,925.825134
20.505499,-4977.495117
20.503657,-7495.312988
20.501815,-3306.380371
20.499974,1794.642822
20.498132,2136.049316
20.49629,47.77409
20.494449,78.196785
20.492607,1238.746216
20.490766,400.751831
20.488924,-1401.811401
20.487082,-1539.307251
20.485241,-684.994934
20.483399,-248.582275
20.481557,1105.649414
20.479716,3672.411133
20.477874,3725.115479
20.476032,-573.875977
20.474191,-4451.808105
20.472349,-3182.830811
20.470507,406.419281
20.468666,823.743958
20.466824,-1287.992065
20.464982,-1453.517456
20.463141,386.610321
20.461299,399.192902
20.459458,-2076.736572
20.457616,-3966.882568
20.455774,-4070.791016
20.453933,-4049.9021
20.452091,-4323.036621
20.450249,-3466.004639
20.448408,-1514.739014
20.446566,-225.299118
20.444724,-208.264893
20.442883,-601.273315
